Date,MAU (millions)
2008-11-15,100
2009-02-15,197
2009-05-15,242
2009-08-15,305
2009-11-15,360
2010-02-15,431
2010-05-15,482
2010-08-15,550
2010-11-15,608
2011-02-15,680
2011-05-15,739
2011-08-15,800
2011-11-15,845
2012-02-15,901
2012-05-15,955
2012-08-15,1007
2012-11-15,1056
2013-02-15,1110
2013-05-15,1155
2013-08-15,1189
2013-11-15,1228
2014-02-15,1276
2014-05-15,1317
2014-08-15,1350
2014-11-15,1393
2015-02-15,1441
2015-05-15,1490
2015-08-15,1545
2015-11-15,1591
2016-02-15,1654
2016-05-15,1712
2016-08-15,1788
2016-11-15,1860
2017-02-15,1936
2017-05-15,2006
2017-08-15,2072
2017-11-15,2129
2018-02-15,2196
2018-05-15,2234
2018-08-15,2271
2018-11-15,2320
2019-02-15,2375
2019-05-15,2414
2019-08-15,2449
2019-11-15,2498
2020-02-15,2603
2020-05-15,2701
2020-08-15,2740
2020-11-15,2797
2021-02-15,2853
2021-05-15,2895
2021-08-15,2910
2021-11-15,2912
2022-02-15,2936
2022-05-15,2934
2022-08-15,2958
2022-11-15,2963